Home,xG,Score,xG,Away
,,,,
Brentford,1.3,2–0,1.4,Arsenal
Norwich City,1.4,0–3,2.0,Liverpool
Everton,2.4,3–1,0.7,Southampton
Chelsea,0.9,3–0,0.3,Crystal Palace
Watford,1.2,3–2,1.1,Aston Villa
Burnley,1.0,1–2,1.3,Brighton
Leicester City,0.8,1–0,1.1,Wolves
Manchester Utd,1.5,5–1,0.6,Leeds United
Tottenham,1.3,1–0,1.9,Manchester City
Newcastle Utd,1.5,2–4,2.3,West Ham
Brighton,1.5,2–0,0.9,Watford
Leeds United,1.5,2–2,2.0,Everton
Crystal Palace,0.6,0–0,0.9,Brentford
Manchester City,2.7,5–0,0.1,Norwich City
Aston Villa,1.1,2–0,0.7,Newcastle Utd
Liverpool,2.9,2–0,0.7,Burnley
Arsenal,0.3,0–2,2.9,Chelsea
Wolves,1.4,0–1,1.5,Tottenham
Southampton,0.8,1–1,1.4,Manchester Utd
West Ham,2.5,4–1,0.8,Leicester City
Liverpool,2.6,1–1,0.8,Chelsea
Brighton,1.0,0–2,1.6,Everton
Aston Villa,0.6,1–1,1.1,Brentford
Newcastle Utd,1.4,2–2,3.6,Southampton
West Ham,1.2,2–2,0.7,Crystal Palace
Norwich City,1.6,1–2,1.3,Leicester City
Manchester City,3.8,5–0,0.1,Arsenal
Wolves,1.8,0–1,0.6,Manchester Utd
Burnley,1.4,1–1,1.5,Leeds United
Tottenham,0.9,1–0,0.6,Watford
Chelsea,1.1,3–0,1.5,Aston Villa
Manchester Utd,2.1,4–1,0.7,Newcastle Utd
Leicester City,0.8,0–1,2.9,Manchester City
Brentford,0.7,0–1,0.2,Brighton
Watford,0.2,0–2,2.1,Wolves
Arsenal,2.8,1–0,0.6,Norwich City
Southampton,0.8,0–0,0.6,West Ham
Crystal Palace,2.4,3–0,0.1,Tottenham
Leeds United,1.2,0–3,4.0,Liverpool
Everton,1.3,3–1,1.3,Burnley
Newcastle Utd,1.3,1–1,2.0,Leeds United
Aston Villa,1.3,3–0,0.7,Everton
Burnley,1.3,0–1,1.2,Arsenal
Norwich City,1.0,1–3,1.8,Watford
Manchester City,1.1,0–0,0.4,Southampton
Liverpool,2.7,3–0,0.8,Crystal Palace
Wolves,0.6,0–2,2.5,Brentford
Tottenham,0.7,0–3,1.9,Chelsea
Brighton,1.4,2–1,1.7,Leicester City
West Ham,1.6,1–2,1.8,Manchester Utd
Brentford,1.9,3–3,2.5,Liverpool
Everton,2.1,2–0,0.6,Norwich City
Watford,1.1,1–1,2.5,Newcastle Utd
Leicester City,2.6,2–2,0.7,Burnley
Leeds United,1.3,1–2,1.8,West Ham
Manchester Utd,2.3,0–1,1.2,Aston Villa
Chelsea,0.3,0–1,1.7,Manchester City
Arsenal,0.8,3–1,1.0,Tottenham
Southampton,1.2,0–1,1.0,Wolves
Crystal Palace,1.4,1–1,0.6,Brighton
Brighton,1.4,0–0,0.5,Arsenal
Wolves,0.9,2–1,0.6,Newcastle Utd
Chelsea,3.6,3–1,1.3,Southampton
Burnley,1.0,0–0,0.5,Norwich City
Leeds United,1.9,1–0,0.2,Watford
Manchester Utd,0.9,1–1,1.1,Everton
Liverpool,1.0,2–2,1.2,Manchester City
Tottenham,1.7,2–1,1.1,Aston Villa
Crystal Palace,1.3,2–2,1.7,Leicester City
West Ham,1.3,1–2,1.2,Brentford
Brentford,1.6,0–1,0.3,Chelsea
Aston Villa,1.1,2–3,2.0,Wolves
Manchester City,1.9,2–0,1.0,Burnley
Southampton,2.3,1–0,0.2,Leeds United
Leicester City,3.1,4–2,1.4,Manchester Utd
Norwich City,1.0,0–0,0.9,Brighton
Watford,0.5,0–5,3.6,Liverpool
Newcastle Utd,0.5,2–3,1.6,Tottenham
Everton,0.8,0–1,1.5,West Ham
Arsenal,1.4,2–2,0.9,Crystal Palace
Arsenal,2.7,3–1,1.4,Aston Villa
Brighton,1.3,1–4,3.9,Manchester City
Crystal Palace,1.7,1–1,0.4,Newcastle Utd
Everton,2.3,2–5,3.2,Watford
Southampton,1.6,2–2,0.7,Burnley
Leeds United,1.9,1–1,1.0,Wolves
Chelsea,3.2,7–0,0.2,Norwich City
Manchester Utd,1.5,0–5,3.8,Liverpool
Brentford,1.2,1–2,1.5,Leicester City
West Ham,1.2,1–0,0.7,Tottenham
Tottenham,0.7,0–3,1.2,Manchester Utd
Liverpool,1.1,2–2,1.1,Brighton
Watford,1.2,0–1,2.0,Southampton
Newcastle Utd,0.3,0–3,2.1,Chelsea
Burnley,2.2,3–1,0.7,Brentford
Manchester City,1.1,0–2,1.1,Crystal Palace
Leicester City,1.2,0–2,0.9,Arsenal
Aston Villa,0.7,1–4,2.3,West Ham
Norwich City,0.9,1–2,1.0,Leeds United
Wolves,1.6,2–1,1.5,Everton
Southampton,0.8,1–0,0.6,Aston Villa
Brighton,1.6,1–1,0.2,Newcastle Utd
Chelsea,2.2,1–1,1.0,Burnley
Crystal Palace,2.0,2–0,0.2,Wolves
Brentford,2.2,1–2,1.4,Norwich City
Manchester Utd,0.6,0–2,2.0,Manchester City
West Ham,1.0,3–2,1.4,Liverpool
Everton,0.5,0–0,0.8,Tottenham
Arsenal,1.7,1–0,0.7,Watford
Leeds United,1.2,1–1,1.1,Leicester City
